10826699,"394 ALLARD BOULEVARD SW",102500
10838655,"8603 221 STREET NW",151000
10838580,"6403 169 AVENUE NW",163500
10831526,"1791 DUMONT CRESCENT SW",134000
10838624,"22319 80 AVENUE NW",111000
10302059,"",3267000
10102007,"183 CALLAGHAN DRIVE SW",622500
2033637,"9436 148 STREET NW",392500
10086874,"5343 MULLEN BEND NW",692500
10170513,"20-1718 RABBIT HILL ROAD NW",222500
9292046,"3889 85 STREET NW",317500
10500717,"1509 GRAYDON HILL POINT SW",359500
7927544,"11216 58 AVENUE NW",403500
1299296,"171 LAGO LINDO CRESCENT NW",299000
3728599,"402-15503 106 STREET NW",187500
4756003,"11835 70 STREET NW",251000
10042629,"119-16807 100 AVENUE NW",176000
6618839,"206 VILLAGE ON THE GREEN NW",182500
10020640,"5526 164 AVENUE NW",430500
3009099,"108-4015 26 AVENUE NW",89500
3511474,"11918 102 AVENUE NW",299500
9217472,"6003 84 AVENUE NW",285500
8394207,"9024 89 STREET NW",310000
4086864,"6448 157 AVENUE NW",439500
10764632,"7244 MORGAN ROAD NW",163000
6670053,"72 MCLEOD PLACE NW",216000
9962942,"1211 BRECKENRIDGE DRIVE NW",411000
10125284,"1515 TOWNE CENTRE BOULEVARD NW",431500
3028115,"",9000
10295922,"10006 88 AVENUE NW",589500
3860632,"15610 54 STREET NW",487000
10766398,"3403 CRAIG LANDING SW",123500
1286517,"912-10145 121 STREET NW",116000
3913522,"501-9809 110 STREET NW",330000
10831518,"1807 DUMONT CRESCENT SW",112000
10838640,"8719 221 STREET NW",120000
10831495,"1784 DUMONT CRESCENT SW",106000
10706698,"673 HOWATT DRIVE SW",500
10786517,"336-503 ALBANY WAY NW",283500
9993384,"361 EVERGREEN PARK NW",101000
10841521,"8019 105 STREET NW",340000
4065033,"8019 105 STREET NW",341000
10765434,"906 172 STREET SW",62000
10749724,"1182 CY BECKER ROAD NW",184500
10841552,"8019 105 STREET NW",341000
8866931,"6703 88 STREET NW",728500
10198416,"104-2951 ELLWOOD DRIVE SW",455000
6629026,"6003 144 AVENUE NW",309000
3804200,"10803 95 STREET NW",631500
10015367,"22121 112 AVENUE NW",15636000
1102599,"20033 34 STREET NW",12500
10804342,"434-1818 RUTHERFORD ROAD SW",50500
1150820,"12208 17 STREET NE",2532968
10841563,"8019 105 STREET NW",341000
10136760,"102-11831 106 STREET NW",92000
4065017,"8019 105 STREET NW",340500
10841578,"8019 105 STREET NW",341000
10838519,"20391 128 AVENUE NW",286500
10804343,"436-1818 RUTHERFORD ROAD SW",49000
10841546,"8019 105 STREET NW",341500
10739400,"5010 162 AVENUE NW",2039000
10841550,"8019 105 STREET NW",341500
10786512,"331-503 ALBANY WAY NW",243500
4064952,"8019 105 STREET NW",341000
1077593,"225 HAYTER ROAD NW",7545000
10003189,"106-10116 80 AVENUE NW",298000
10765412,"905 173 STREET SW",62000
10841559,"8019 105 STREET NW",341000
10841531,"8019 105 STREET NW",341500
10786516,"335-503 ALBANY WAY NW",232500
10841547,"8019 105 STREET NW",340500
1077585,"831 HAYTER ROAD NW",14487500
10841527,"8019 105 STREET NW",341500
10841549,"8019 105 STREET NW",341000
10838460,"12803 203 STREET NW",160500
4065025,"8019 105 STREET NW",341000
1799600,"196 PRIMROSE GARDENS NW",213000
3733508,"9526 109A AVENUE NW",175500
10242210,"804 YELLOWHEAD TRAIL NW",13500
10786515,"334-503 ALBANY WAY NW",180000
10765433,"904 172 STREET SW",62000
3857174,"12130 MERIDIAN STREET NW",43000
9959979,"12520 72 STREET NW",454500
9961204,"2626 195 AVENUE NW",360500
10781664,"9652 85 STREET NW",275000
10765409,"903 173 STREET SW",62000
4065041,"8019 105 STREET NW",340500
10841560,"8019 105 STREET NW",341000
4065058,"8019 105 STREET NW",341000
10838515,"20303 128 AVENUE NW",42000
10786513,"332-503 ALBANY WAY NW",254000
10780971,"10241 151 STREET NW",389500
10508593,"17616 97 STREET NW",1859000
10786518,"337-503 ALBANY WAY NW",284000
9966296,"14810 112 AVENUE NW",10506000
10841543,"8019 105 STREET NW",308000
10841562,"8019 105 STREET NW",340500
4065066,"8019 105 STREET NW",340500
8401408,"8911 84 AVENUE NW",606000
6509954,"5811 132 AVENUE NW",645000
8401705,"8925 84 AVENUE NW",538500
10841586,"8019 105 STREET NW",341000
10841557,"8019 105 STREET NW",340500
10167077,"12450 41 AVENUE SW",705500
10397419,"8917 84 AVENUE NW",541500
8401606,"8923 84 AVENUE NW",437500
3872504,"9002 JASPER AVENUE NW",794500
1067909,"10821 30 AVENUE SW",5500
10786510,"328-503 ALBANY WAY NW",232500
10786511,"329-503 ALBANY WAY NW",246500
10841580,"8019 105 STREET NW",340500
10838516,"12700 199 STREET NW",500
10236160,"11940 MERIDIAN STREET NW",73000
1102607,"19807 34 STREET NW",12500
1077635,"11804 MERIDIAN STREET NW",138000
10777235,"12210 JASPER AVENUE NW",18403500
10397420,"8915 84 AVENUE NW",553500
10841534,"8019 105 STREET NW",341000
7627904,"10604 65 AVENUE NW",765000
6036800,"12311 94 STREET NW",303000
6037600,"12343 94 STREET NW",328500
6037204,"12325 94 STREET NW",319500
6065502,"9003 123 AVENUE NW",486500
6037709,"9309 124 AVENUE NW",371000
7627656,"6520 106 STREET NW",256500
6065809,"12238 90 STREET NW",162000
6065700,"12240 90 STREET NW",357500
7627409,"6524 106 STREET NW",280000
10481925,"5320 SCHONSEE DRIVE NW",26000
10098422,"6512 106 STREET NW",520000
6036701,"12305 94 STREET NW",264500
6065601,"12242 90 STREET NW",354500
10082368,"1004-9939 109 STREET NW",323500
2004315,"14628 86 AVENUE NW",418000
10764340,"1520 161 STREET SW",173000
1903707,"197 MARLBOROUGH PLACE NW",195500
10500261,"4315 ANNETT COMMON SW",354000
10009422,"338 CALDWELL CLOSE NW",719000
3756392,"18 JEFFERSON ROAD NW",429000
10060332,"16433 60A STREET NW",617000
2857209,"13928 115 AVENUE NW",373000
7860562,"51 WESTBROOK DRIVE NW",65000
10224465,"5428 BONAVENTURE AVENUE NW",679000
4453700,"11120 69 STREET NW",453500
7674179,"10819 60 AVENUE NW",456000
9999853,"21312 88 AVENUE NW",395500
9988752,"1219 SUMMERSIDE DRIVE SW",709500
1025832,"3-12715 81 STREET NW",79000
4390415,"7735 112S AVENUE NW",305500
6707905,"7907 145 AVENUE NW",324500
10098421,"6514 106 STREET NW",526500
6994503,"17331 82 STREET NW",4387000
6037303,"12327 94 STREET NW",336500
6037451,"12335 94 STREET NW",267000
6037410,"12329 94 STREET NW",315000
3771078,"18404 66 STREET NW",856000
6037006,"12321 94 STREET NW",198500
6037501,"12339 94 STREET NW",238000
9077660,"4624 107 AVENUE NW",375000
1202670,"203-2624 MILL WOODS ROAD EAST NW",147000
9997099,"1623 HECTOR ROAD NW",767500
3011186,"27 BLUE QUILL CRESCENT NW",575000
4283370,"52 OAK RIDGE DRIVE NW",63000
9943991,"7757 96 STREET NW",493500
9949254,"12-1203 CARTER CREST ROAD NW",416500
10699153,"308-1144 ADAMSON DRIVE SW",227000
10087638,"21304 48 AVENUE NW",341000
3696309,"10645 96 STREET NW",470500
7940752,"5103 143 STREET NW",420500
3179785,"291 ORMSBY ROAD EAST NW",555500
6814487,"15243 117 STREET NW",358000
10091420,"416-3610 43 AVENUE NW",150500
7043300,"2437 106A STREET NW",424500
3920733,"",14500
9707050,"3479 39 STREET NW",345500
9984862,"4523 150 AVENUE NW",329500
10028380,"1317 KAPYONG AVENUE NW",736500
6697387,"7216 141 AVENUE NW",317000
4108221,"319-8604 GATEWAY BOULEVARD NW",162000
3893583,"2720 44A AVENUE NW",386500
10277522,"12223 167A AVENUE NW",308000
6982730,"10215 171A AVENUE NW",290000
4307278,"1-1283 CARTER CREST ROAD NW",355000
4234027,"805 116A STREET NW",404500
1130798,"7307 190 STREET NW",368000
6036602,"12303 94 STREET NW",268500
7627508,"6522 106 STREET NW",462500
6031504,"12232 90 STREET NW",214000
10838770,"3553 CHERRY LANDING SW",125500
10838476,"12818 203A STREET NW",109000
10154343,"404-1003 GAULT BOULEVARD NW",338500
10838786,"3521 CHERRY LANDING SW",107000
10838436,"20947 95 AVENUE NW",135000
10838798,"3552 CHERRY LANDING SW",132000
